%time,field.data
1557305783700114956,0.0
1557305783708250914,0.0
1557305783720575678,0.0
1557305783728803211,0.0
1557305783741266980,0.0
1557305783749448759,0.0
1557305783761783011,0.0
1557305783770165654,0.0
1557305783777799189,0.0
1557305783790057051,0.0
1557305783798178171,0.0
1557305783810628467,0.0
1557305783818876392,0.0
1557305783831227946,0.0
1557305783839593994,0.0
1557305783851633606,0.0
1557305783859908022,0.0
1557305783868028852,0.0
1557305783880497240,0.0
1557305783888706306,0.0
1557305783900953472,0.0
1557305783909110158,0.0
1557305783921439640,0.0
1557305783929601818,0.0
1557305783941658001,0.0
1557305783950005709,0.0
1557305783958312962,0.0
1557305783970725058,0.0
1557305783978615332,0.0
1557305783991162945,0.0
1557305783999081908,0.0
1557305784011190003,0.0
1557305784019735419,0.0
1557305784031814738,0.0
1557305784040052836,0.0
1557305784048272534,0.0
1557305784060498299,0.0
1557305784069005345,0.0
1557305784080838909,0.0
1557305784089055035,0.0
1557305784101433311,0.0
1557305784109794276,0.0
1557305784118017556,0.0
1557305784130268223,0.2
1557305784138550037,0.2
1557305784150707195,0.2
1557305784158880459,0.2
1557305784171418356,0.2
1557305784179599842,0.2
1557305784191401682,0.2
1557305784200003738,0.2
1557305784208017419,0.2
1557305784220553809,0.2
1557305784228764490,0.0
1557305784241007817,0.0
1557305784249294687,0.0
1557305784261177370,0.0
1557305784269331871,0.0
1557305784281558725,0.0
1557305784289957145,0.0
1557305784298331364,0.0
1557305784310508860,0.0
1557305784318711807,0.0
1557305784330923731,0.2
1557305784339086685,0.2
1557305784351663748,0.2
1557305784359944180,0.2
1557305784372126577,0.2
1557305784380152849,0.2
1557305784388161904,0.2
1557305784400315511,0.2
1557305784408633142,0.2
1557305784420860439,0.2
1557305784429156599,0.2
1557305784441584022,0.2
1557305784449856680,0.2
1557305784457980119,0.2
1557305784470575267,0.2
1557305784478706908,0.2
1557305784490852380,0.2
1557305784498700072,0.2
1557305784511163315,0.2
1557305784519283106,0.2
1557305784531557294,0.2
1557305784539963697,0.2
1557305784548377508,0.2
